country,country_code,gdp_2016,u5_2016,le_2016,gdp_2018,u5_2018,le_2018
Mauritania,MRT,1123.888166,80.7,64.208,1188.834588,75.7,
Mauritius,MUS,9681.618567,14.4,74.39487805,11238.69039,15.5,
Mexico,MEX,8739.756043,14.1,74.917,9673.443674,12.7,
"Micronesia, Fed. Sts.",FSM,3014.700018,33,67.471,3568.290829,30.8,
Moldova,MDA,2272.405707,16.2,71.617,3227.312192,15.8,
Monaco,MCO,169915.8048,3.4,,185741.28,3.2,
Mongolia,MNG,3660.150746,17.7,69.321,4121.732435,16.3,
Montenegro,MNE,7028.936577,3.1,76.568,8844.236985,2.5,
Morocco,MAR,2897.66344,24.4,75.974,3237.883368,22.4,
Mozambique,MOZ,428.926488,78.1,58.309,498.9572202,73.2,
